Release after,Players
0,1307976
1,1384608
2,1373805
3,1230469
4,1179869
5,1108276
6,1003768
7,961406
8,1005327
9,932298
10,758093
11,710063
12,663416
13,604757
14,592596
15,651603
16,601476
17,478068
18,452179
19,439862
20,399139
21,386797
22,426448
23,386025
24,316526
25,291166
26,296935
27,269531
28,274184
29,308127
30,283162
31,225770
32,213163
33,184909
34,190517
35,555797
36,480010
37,411124
38,318060
39,283848
40,261044
41,235265
42,235420
43,256632
44,227299
45,182056
46,173347
47,167169
48,152420
49,154505
50,160487
51,140660
52,123374
53,115539
54,220675
55,176526
56,161054
57,156439
58,137910
59,119411
60,111179
61,209605
62,150284
63,125460
64,117724
65,112723
66,102565
67,94894
68,92518
69,79670
70,79083
71,85780
72,72427
73,58715
74,54995
75,50696
76,46023
77,48408
78,55327
79,48694
80,41101
81,41053
82,47200
83,39966
84,39870
85,43770
86,38244
87,31889
88,31423
89,99061
90,66365
91,53501
92,52751
93,43143
94,35073
95,32846
96,36446
97,30006
98,29677
99,32672
100,28717
101,23601
102,22130
103,22549
104,19176
105,20230
106,22935
107,20639
108,17066
109,16454
110,19061
111,16900
112,16455
113,18468
114,17101
115,14123
116,13608
117,13551
118,13069
119,17374
120,19978
121,19637
122,133033
123,87965
124,68717
125,57058
126,58776
127,61829
128,54154
129,40175
130,36891
131,41634
132,37040
133,37465
134,41030
135,36730
136,29792
137,27641
138,25706
139,22846
140,24132
141,28350
142,27976
143,22526
144,22497
145,69513
146,52344
147,48498
148,49768
149,43969
150,35978
151,39727
152,35376
153,30622
154,32758
155,35709
156,31915
157,25823
158,24602
159,22781
160,20946
161,21273
162,23682
163,23592
164,21747
165,23635
166,71824
167,56309
168,53859
169,55520
170,51580
171,45761
172,44256
173,46855
174,42827
175,44937
176,50198
177,45849
178,14492
179,12700
180,15158
181,13825
182,11996
183,14975
184,15685
185,10729
186,10353
187,9695
188,9253
189,7956
190,11142
191,12634
192,7964
193,7301
194,7484
195,6845
196,6232
197,8909
198,9907
199,8433
200,5901
201,6376
202,5308
203,4941
204,6820
205,7754
206,5702
207,6625
208,4823
